county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
albany county,wyoming,14.9,13.8,49.4,322100,2.1,10.7,55.5,13.2,37277,8.7,10.4,28.7,10.7,10.7,Low Risk: Educated Urban Communities
big horn county,wyoming,23.6,22.5,77.2,198200,2.6,7.1,20.9,18.5,31066,3.7,16.9,46.1,5.7,9.8,Medium Risk: Older White Homeowner Communities
campbell county,wyoming,25.8,14.7,78.4,266400,2.6,7.5,22.2,12.3,40983,9.8,10.6,40.5,5.9,10.3,Medium Risk: Older White Homeowner Communities
carbon county,wyoming,21.4,20.3,76.8,214500,2.4,11.7,22.8,16.4,35421,1.8,15.7,41.7,7.4,18.8,Medium Risk: Older White Homeowner Communities
converse county,wyoming,23.6,20.5,78.3,269700,2.4,3.7,22.9,14.1,38337,3.2,16.8,44.1,5.4,8.6,Medium Risk: Older White Homeowner Communities
crook county,wyoming,24.8,23.5,76,276800,2.5,3.3,24,14.1,35109,2.5,13.2,48.3,3.8,2.4,Medium Risk: Older White Homeowner Communities
fremont county,wyoming,23.8,20.8,70.7,252700,2.6,6.6,25.3,15.2,32717,4.3,15.2,44.6,26.1,7.5,High Risk: Rural Minority Communities
goshen county,wyoming,19.7,25,74.1,234600,2.3,6.3,24.6,13.8,34997,5.6,18.8,44.7,5.8,10.4,Medium Risk: Older White Homeowner Communities
hot springs county,wyoming,20,31.1,72.6,214400,2.2,1.9,26.4,13.2,33942,2.3,20.1,51.1,6.9,5.4,Medium Risk: Older White Homeowner Communities
johnson county,wyoming,19,28.7,79.6,296000,2.2,3.4,30.3,12.6,39367,2,14.8,47.7,5.6,4.4,Medium Risk: Older White Homeowner Communities
laramie county,wyoming,21.7,18.2,70.8,324900,2.3,6.6,32,11.3,42449,37.4,13.9,39.9,8.6,16.3,Medium Risk: Older White Homeowner Communities
lincoln county,wyoming,24.1,21.2,80.1,334500,2.6,5,24.1,17,40375,4.8,14.2,45.3,4.4,6,Medium Risk: Older White Homeowner Communities
natrona county,wyoming,22.9,18.3,73.6,260400,2.4,5.8,27.4,13.8,40978,15,15.9,41.2,6.4,9.9,Medium Risk: Older White Homeowner Communities
niobrara county,wyoming,17.7,28.6,65.2,194200,1.9,3.2,19.6,17,36676,0.9,16,46.3,5.6,4.7,Medium Risk: Older White Homeowner Communities
park county,wyoming,19.9,26.3,74.7,374200,2.2,3.5,35,13.8,41425,4.3,13,46.2,4.3,6.3,Medium Risk: Older White Homeowner Communities
platte county,wyoming,19.4,28.5,72.5,248900,2.2,7.2,19.5,14,37237,4.1,16.6,47.9,4.8,9.7,Medium Risk: Older White Homeowner Communities
sheridan county,wyoming,20.5,23.9,69.9,352200,2.3,2.7,33.4,13,40533,12.3,12.9,44.4,5.1,5.1,Medium Risk: Older White Homeowner Communities
sublette county,wyoming,20.9,24.8,81.1,350100,2.4,5.2,31.1,14.7,57348,1.8,15.7,45.7,5.4,7.6,Medium Risk: Older White Homeowner Communities
sweetwater county,wyoming,23.9,16.3,74,242900,2.5,8.7,20.4,11.7,40988,4.1,15.5,40.2,6.2,17.5,Medium Risk: Older White Homeowner Communities
teton county,wyoming,16.1,19,61.5,1371900,2.4,18.1,61.2,13.8,75541,5.8,6.4,35.1,6.6,16.6,Low Risk: Educated Urban Communities
uinta county,wyoming,25.9,18.4,76.5,255400,2.7,4.1,21.3,12.4,34568,9.8,14.7,44.3,4.7,10.4,Medium Risk: Older White Homeowner Communities
washakie county,wyoming,19.9,25.7,74.2,188600,2.2,7.8,22,13.3,36030,3.4,13,45.6,6.3,14.3,Medium Risk: Older White Homeowner Communities
weston county,wyoming,18.2,24,89,214000,2.4,3.3,18,14.6,41745,2.9,15.2,42.2,7.2,5.8,Medium Risk: Older White Homeowner Communities
wood county,wisconsin,21,23.1,72.6,175600,2.26,3.8,21.4,5.4,37943,93.6,15.3,44.1,6.1,4.2,Medium Risk: Older White Homeowner Communities
winnebago county,wisconsin,19.7,18.3,65.8,225800,2.27,5.9,31.1,5.4,40938,395.1,12.7,38,10.1,5.4,Low Risk: Educated Urban Communities
waushara county,wisconsin,17.2,27.9,84.2,203100,2.26,8.6,17.7,8,41552,39.2,16,45.1,5.5,7.1,Medium Risk: Older White Homeowner Communities
waupaca county,wisconsin,19.9,22.4,75.3,211400,2.23,3.7,20.5,6.5,41606,69.3,14.6,42.3,3.7,4.2,Medium Risk: Older White Homeowner Communities
waukesha county,wisconsin,20.4,21.8,76,398200,2.42,7.7,48.9,3.3,58126,740.3,9.4,42.2,9,6.1,Low Risk: Educated Urban Communities
washington county,wisconsin,20.3,21.4,78.1,344800,2.4,4.2,35.2,3.7,49106,317.6,9.8,41.7,6,4,Low Risk: Educated Urban Communities
washburn county,wisconsin,17.2,29.6,82.2,226100,2.2,2.7,25.5,7.3,38951,20.9,15.9,46.8,4.7,2.3,Medium Risk: Older White Homeowner Communities
walworth county,wisconsin,18.7,21.6,70.6,302700,2.38,10.7,32.4,7.1,45175,191.7,12,40.3,4.6,12.6,Low Risk: Educated Urban Communities
vilas county,wisconsin,15.8,33.5,84,300000,2.1,2.4,30.9,7.1,43101,26.9,15.4,49.3,12.5,2.4,Medium Risk: Older White Homeowner Communities
vernon county,wisconsin,25.6,22.2,80.3,223800,2.46,11.3,24.9,11.1,36396,38.8,10.6,47.8,2.7,2,Medium Risk: Older White Homeowner Communities
trempealeau county,wisconsin,26.3,19.8,74,216700,2.43,11,20.9,7.8,37226,42,10.9,46.1,5.8,13.1,Medium Risk: Older White Homeowner Communities
taylor county,wisconsin,22.8,22.8,79.7,197100,2.47,5.6,17,8.6,35571,20.4,12.5,45.6,3,3.4,Medium Risk: Older White Homeowner Communities
st. croix county,wisconsin,22.9,17.4,78.3,377700,2.54,3.3,39.5,4.4,50302,129.5,9.9,40.3,4.8,3.3,Low Risk: Educated Urban Communities
sheboygan county,wisconsin,20.9,20.9,71.5,232700,2.31,9.6,27.5,5.7,40078,230.7,11.2,41.8,12,8.2,Low Risk: Educated Urban Communities
shawano county,wisconsin,20.8,23.1,77.5,194000,2.35,3.3,19.1,6.7,36614,45.8,15.3,43.9,12.9,3.6,Medium Risk: Older White Homeowner Communities
sawyer county,wisconsin,17.7,29.8,76.7,236200,2.04,3.5,27.4,8,38676,14.4,16.5,47.5,20.3,2.6,Medium Risk: Older White Homeowner Communities
sauk county,wisconsin,22,21,72.4,258600,2.33,8.1,27.3,6.2,41246,79.1,12.2,43,5.6,7.6,Medium Risk: Older White Homeowner Communities
rusk county,wisconsin,19.6,27.4,77.9,163400,2.2,2.4,16.9,7.9,33309,15.5,17.3,47,3.9,2.3,Medium Risk: Older White Homeowner Communities
rock county,wisconsin,21.8,18.8,71.2,231600,2.41,8.8,25.8,5.6,38536,227.9,13.1,40.6,10.5,10.7,Low Risk: Educated Urban Communities
richland county,wisconsin,20.8,25.8,73.9,197500,2.32,6.8,21.2,7.7,36484,29.5,14.3,46.6,4.5,3.5,Medium Risk: Older White Homeowner Communities
racine county,wisconsin,22.3,19,71,251400,2.39,9.1,28.4,6.7,41162,594.4,13.8,41.3,17.6,16,Low Risk: Educated Urban Communities
price county,wisconsin,16.7,30.1,81.9,162500,2.13,2.1,17.9,6.7,36099,11.2,16.9,46.8,4.9,1.9,Medium Risk: Older White Homeowner Communities
portage county,wisconsin,18,19.3,69.7,243100,2.29,4.8,34,5.8,40191,87.9,11.4,37.3,7,4.6,Low Risk: Educated Urban Communities
polk county,wisconsin,19.3,24.1,81,271900,2.31,2.1,24.3,6.6,41288,49.2,13.9,43.4,4,2.3,Medium Risk: Older White Homeowner Communities
pierce county,wisconsin,19.8,17.8,75,333700,2.53,3.1,33.5,4.3,45908,73.5,10.2,37.6,5.2,3.1,Low Risk: Educated Urban Communities
pepin county,wisconsin,21.9,25.7,83,214800,2.41,6.1,23,7.4,39335,31.5,12,47.6,2.7,3,Medium Risk: Older White Homeowner Communities
ozaukee county,wisconsin,20.5,22.9,72.9,390200,2.38,5.8,51.2,3.7,59040,392.7,10.3,43.4,7.1,4,Low Risk: Educated Urban Communities
outagamie county,wisconsin,22.4,17.7,71.5,267300,2.42,7.6,32.7,5.3,47256,299.1,10.9,40.1,10.3,5.7,Low Risk: Educated Urban Communities
oneida county,wisconsin,16,30.2,82.3,238400,2.15,2,28.7,5.7,42684,34,14.7,46.2,4.4,1.8,Medium Risk: Older White Homeowner Communities
oconto county,wisconsin,19.2,24.5,85,231400,2.33,1.9,18.9,5.9,40358,39.1,14.4,43.7,4.6,2.3,Medium Risk: Older White Homeowner Communities
monroe county,wisconsin,25.3,19,72.8,210000,2.48,9,21.3,8.3,35704,51.4,13.7,44.3,6.4,6.2,Medium Risk: Older White Homeowner Communities
milwaukee county,wisconsin,23.2,15.4,49.9,230700,2.31,18.6,34.7,7.7,38385,3890.5,12.6,38.6,37,17.6,Low Risk: Educated Urban Communities
