fips,county_name,county_name,demog_index
10001,kent county,kent county,0.604775481111903
10003,new castle county,new castle county,0.5648610121168923
10005,sussex county,sussex county,0.22950819672131148
12001,alachua county,alachua county,0.83464005702067
12003,baker county,baker county,0.451176051318603
12005,bay county,bay county,0.714896650035638
12007,bradford county,bradford county,0.7836778332145403
12009,brevard county,brevard county,0.45830363506771205
12011,broward county,broward county,0.8692088382038489
12013,calhoun county,calhoun county,0.8342836778332146
12015,charlotte county,charlotte county,0.19743406985032075
12017,citrus county,citrus county,0.3442622950819672
12019,clay county,clay county,0.43014967925873127
12021,collier county,collier county,0.4682822523164647
12023,columbia county,columbia county,0.7712045616535994
12027,desoto county,desoto county,0.9725588025659302
12029,dixie county,dixie county,0.729864575908767
12031,duval county,duval county,0.8717034925160371
12033,escambia county,escambia county,0.8032786885245902
12035,flagler county,flagler county,0.22665716322166785
12037,franklin county,franklin county,0.740199572344975
12039,gadsden county,gadsden county,0.9625801853171775
12041,gilchrist county,gilchrist county,0.5848182466143977
12043,glades county,glades county,0.9650748396293657
12045,gulf county,gulf county,0.7227369921596579
12047,hamilton county,hamilton county,0.8866714183891661
12049,hardee county,hardee county,0.9066286528866714
12051,hendry county,hendry county,0.985032074126871
12053,hernando county,hernando county,0.45295794725588023
12055,highlands county,highlands county,0.6546685673556665
12057,hillsborough county,hillsborough county,0.84248039914469
12059,holmes county,holmes county,0.7038488952245189
12061,indian river county,indian river county,0.3610121168923735
12063,jackson county,jackson county,0.8431931575196009
12065,jefferson county,jefferson county,0.7697790449037776
12067,lafayette county,lafayette county,0.8314326443335709
12069,lake county,lake county,0.5199572344975053
12071,lee county,lee county,0.6215253029223093
12073,leon county,leon county,0.8620812544547398
12075,levy county,levy county,0.6642908054169636
12077,liberty county,liberty county,0.8474697077690663
12079,madison county,madison county,0.932287954383464
12081,manatee county,manatee county,0.5185317177476836
12083,marion county,marion county,0.6254454739843193
12085,martin county,martin county,0.2690662865288667
12086,miami-dade county,miami-dade county,0.9729151817533856
12087,monroe county,monroe county,0.5580898075552387
12089,nassau county,nassau county,0.1286528866714184
12091,okaloosa county,okaloosa county,0.5620099786172488
12093,okeechobee county,okeechobee county,0.8549536707056308
12095,orange county,orange county,0.8927298645759087
12097,osceola county,osceola county,0.7758374910905204
12099,palm beach county,palm beach county,0.7626514611546685
12101,pasco county,pasco county,0.5584461867426942
12103,pinellas county,pinellas county,0.6514611546685674
12105,polk county,polk county,0.7986457590876693
