geoid,county,mean_elev
39153,Summit,312.18445945739745
37017,Bladen,25.53480771243572
37167,Stanly,162.34622869491577
42113,Sullivan,520.0101563262939
48459,Upshur,107.79223705291749
48049,Brown,453.8056211853028
45021,Cherokee,225.5812734603882
1043,Cullman,245.195231628418
54023,Grant,742.9548709106446
55061,Kewaunee,211.7576567840576
46055,Haakon,679.419529724121
18049,Fulton,242.06513080596923
19083,Hardin,335.926294708252
20133,Neosho,288.8165645599365
1059,Franklin,240.94554302215576
31133,Pawnee,389.7023629760742
35028,Los Alamos,2241.768786010742
39137,Putnam,221.5261442947388
29175,Randolph,241.61170135498048
37105,Lee,100.2006328010559
45039,Fairfield,125.22328983306885
55113,Sawyer,408.1473342132568
48021,Bastrop,144.49611652374267
55031,Douglas,312.55505439758304
48233,Hutchinson,928.3411920166016
51065,Fluvanna,115.62600614547728
55041,Forest,477.3748667907715
48095,Concho,562.1944231414795
26121,Muskegon,195.5612722015381
27005,Becker,447.1880228424072
40077,Latimer,261.06859869908806
15005,Kalawao,348.19316028776257
22073,Ouachita,34.56983925819397
12123,Taylor,14.714384757961762
1023,Choctaw,63.32421897649765
18127,Porter,205.3715005493164
26139,Ottawa,204.3111920928955
26101,Manistee,212.20671360015868
20075,Hamilton,1069.199697113037
38019,Cavalier,478.4901089477539
36005,Bronx,18.40507698826377
38095,Towner,476.41330337524414
40025,Cimarron,1260.208155822754
13081,Crisp,100.49785974502564
5145,White,98.4791767692566
13043,Candler,65.76633603096008
18015,Carroll,207.55488761901856
19141,O'Brien,445.5787512969971
20123,Mitchell,459.29451316833496
17023,Clark,174.8130361938477
24047,Worcester,6.333674355715239
26019,Benzie,210.6048753738404
31135,Perkins,1030.4906785583496
20189,Stevens,945.2100465393066
51025,Brunswick,83.63776346206664
1109,Pike,126.65104928970337
51141,Patrick,561.908109741211
46105,Perkins,793.1155706787109
13013,Barrow,265.39070182800293
21215,Spencer,207.83005619049072
19081,Hancock,373.91155334472654
26087,Lapeer,255.7075896072388
18125,Pike,144.94191873550415
28115,Pontotoc,120.86457559585573
27009,Benton,346.8067552185059
27007,Beltrami,402.3139297485352
1075,Lamar,110.51656549453736
12061,Indian River,6.607454845128567
26149,St. Joseph,260.2374925994873
12073,Leon,37.86630281686783
37007,Anson,114.19087675094605
26031,Cheboygan,220.73606716156007
39051,Fulton,228.7446469116211
37185,Warren,98.5803208065033
31165,Sioux,1338.8126470947266
8047,Gilpin,2883.207039794922
13089,DeKalb,279.147151184082
1073,Jefferson,194.04848735809327
19019,Buchanan,302.979568862915
17093,Kendall,199.1290093612671
26079,Kalkaska,323.110778465271
27097,Morrison,376.7361313629151
1079,Lawrence,204.4139608001709
5059,Hot Spring,114.26577535629272
17009,Brown,182.47466064453124
35011,De Baca,1371.5157067871094
20155,Reno,502.963129196167
31151,Saline,453.19165382385256
36099,Seneca,195.7989323425293
29027,Callaway,218.93856323242187
28019,Choctaw,142.89523986816403
48375,Potter,1031.7942677307128
55107,Rusk,371.9024505615234
40011,Blaine,465.2425608062744
48455,Trinity,90.61255427360534
72145,Vega Baja,81.17795350095257
48103,Crane,768.6173313903809
53069,Wahkiakum,144.29949842981995
47117,Marshall,242.33111000061035
48381,Randall,1083.2617137145996
29097,Jasper,304.3122135162354
18107,Montgomery,242.1319214248657
48285,Lavaca,60.53486686706543
17187,Warren,221.3604373550415
28087,Lowndes,68.0695896434784
39113,Montgomery,273.970845413208
28081,Lee,100.65044775009156
17181,Union,149.37959880828856
31137,Phelps,707.9754895019531
1017,Chambers,215.7607243347168
17083,Jersey,170.71542268753052
13073,Columbia,111.04033456802368
26151,Sanilac,227.1980598068237
37055,Dare,0.0766442149109167
29031,Cape Girardeau,133.66485124588013
22063,Livingston,8.573035304560326
47139,Polk,401.6657615661621
21069,Fleming,267.98061222076416
29085,Hickory,294.2537701797485
29117,Livingston,232.06798515319824
51840,Winchester,225.4473866271973
39173,Wood,204.3844197845459
40107,Okfuskee,252.9646091842652
48441,Taylor,592.9363010406494
54095,Tyler,303.2286512374878
55015,Calumet,255.2823432159424
31157,Scotts Bluff,1259.7652490234375
31143,Polk,493.17257064819336
5009,Boone,385.83049961090086
20129,Morton,1041.2666662597655
12103,Pinellas,2.599314198677384
16081,Teton,1997.1969830322264
26059,Hillsdale,320.99642669677735
36101,Steuben,484.58726013183593
54065,Morgan,274.4868063735962
40105,Nowata,231.5262063217163
39083,Knox,347.4041320800781
13067,Cobb,295.9984894180298
47181,Wayne,238.78152141571044
13305,Wayne,18.68712444007397
18031,Decatur,274.87865573883056
17123,Marshall,200.55632606506347
19023,Butler,301.50749267578124
39169,Wayne,327.17540504455565
20073,Greenwood,354.50767036437986
46025,Clark,515.6763635253906
47169,Trousdale,191.12494434356688
40153,Woodward,586.6584548187255
48025,Bee,65.16194314479827
48151,Fisher,608.05081741333
48005,Angelina,69.54072601318359
48383,Reagan,809.3435232543945
54105,Wirt,259.3608377456665
51159,Richmond,20.50574563086455
56033,Sheridan,1250.7627975463868
48161,Freestone,121.51544841766358
56031,Platte,1473.2970205688478
28155,Webster,124.34751253128051
20023,Cheyenne,1050.42399017334
31109,Lancaster,393.9437181854248
31179,Wayne,500.553168182373
38075,Renville,509.7516374206543
27131,Rice,325.9612033081055
30065,Musselshell,1095.5195498657226
31185,York,499.4576941680908
37063,Durham,125.19165668487548
48341,Moore,1040.777068939209
47007,Bledsoe,465.250516204834
8125,Yuma,1178.819670715332
51580,Covington,432.7334906005859
49031,Piute,2473.432857055664
72061,Guaynabo,78.56343077743426
72121,Sabana Grande,282.3892588925362
1053,Escambia,66.66649435997009
20089,Jewell,512.1522186279296
36097,Schuyler,394.6172894668579
42015,Bradford,428.4693492507935
13113,Fayette,260.3999313354492
46099,Minnehaha,462.4364183807373
20059,Franklin,301.96165916442874
17171,Scott,167.45252754211427
4003,Cochise,1485.2795260620117
17091,Kankakee,198.81254531860355
19195,Worth,373.2843062591553
20077,Harper,429.4121706390381
26053,Gogebic,433.92995479853465
19063,Emmet,397.22546630859375
47109,McNairy,147.39321502685547
39003,Allen,249.840407371521
51199,York,7.039593824637466
13109,Evans,43.12639449119568
13171,Lamar,228.36420917510983
6049,Modoc,1583.1694506835938
5111,Poinsett,71.25476651191711
18139,Rush,297.4455924987793
13123,Gilmer,574.1234888458252
21049,Clark,262.2168886566162
26049,Genesee,229.0914475250244
21067,Fayette,283.7893660354614
37015,Bertie,10.07855832256144
72137,Toa Baja,16.09861707008545
46121,Todd,803.1637565612793
55087,Outagamie,239.68981548309327
18105,Monroe,221.8814730834961
8113,San Miguel,2156.3720056152342
28141,Tishomingo,159.29959314346314
19027,Carroll,378.0724872589111
13279,Toombs,59.24075930595398
21087,Green,227.6866450881958
39085,Lake,239.86756874084472
31035,Clay,547.4772552490234
20011,Bourbon,274.99757987976074
36015,Chemung,399.4482386016846
4011,Greenlee,1903.3291888427727
21019,Boyd,224.7211365127564
51183,Sussex,32.032686828374864
48195,Hansford,958.6021865844726
37199,Yancey,1016.257645263672
46063,Harding,934.802805633545
5065,Izard,209.9276665878296
28045,Hancock,15.778078547044156
18157,Tippecanoe,207.53043575286864
40001,Adair,330.0294347381592
21217,Taylor,249.76570045471192
18011,Boone,277.61736351013184
20169,Saline,402.47628562927247
27161,Waseca,334.7845014953613
19121,Madison,342.2023543548584
26015,Barry,268.49885803222656
27013,Blue Earth,292.51387748718264
37057,Davidson,222.9971795654297
48145,Falls,125.26552404403688
39141,Ross,268.9104531097412
48305,Lynn,939.4387899780272
47175,Van Buren,485.5683361053467
48117,Deaf Smith,1222.6063192749025
72139,Trujillo Alto,109.8260241818428
48267,Kimble,599.522353515625
56009,Converse,1787.0540841674804
35025,Lea,1098.8900289916992
51073,Gloucester,11.222431814039153
8023,Costilla,2661.0963500976563
28129,Smith,122.8377911567688
19077,Guthrie,363.902759552002
20165,Rush,633.0319776916504
20097,Kiowa,666.19867477417
37077,Granville,127.38779323577882
29217,Vernon,254.2731223678589
31077,Greeley,625.1328424072266
42099,Perry,248.20755043029783
17071,Henderson,204.00661712646485
48221,Hood,260.1472819519043
17087,Johnson,149.88514503479004
51790,Staunton,455.5169299316406
17011,Bureau,210.86050636291503
18087,LaGrange,279.04979373931883
28153,Wayne,77.0337246799469
21171,Monroe,247.1983493423462
19021,Buena Vista,416.5443728637695
4019,Pima,728.756771697998
40053,Grant,336.53924041748047
48357,Ochiltree,886.6260484313965
72151,Yabucoa,165.2598621860284
40059,Harper,601.6293544769287
36067,Onondaga,139.7569108390808
18091,LaPorte,220.0058360671997
17177,Stephenson,265.2971823120117
21055,Crittenden,141.52026597976683
16047,Gooding,1032.981939086914
19007,Appanoose,287.1023891830444
24011,Caroline,12.311931467801331
21063,Elliott,287.3442742919922
22031,De Soto,65.3774420452118
24015,Cecil,34.577222131825984
55078,Menominee,340.4629773712158
16055,Kootenai,915.0488148498536
19179,Wapello,233.034059677124
47075,Haywood,102.35389535903931
19003,Adams,372.470848236084
17155,Putnam,179.6117190170288
19033,Cerro Gordo,359.8823206329346
26023,Branch,286.0790631103516
47111,Macon,249.2979595184326
17169,Schuyler,176.24537105560302
37159,Rowan,224.3680615234375
19041,Clay,418.86161918640136
2016,Aleutians West,682.4921803283692
56001,Albany,2225.8155322265625
13303,Washington,105.84338667869568
18055,Greene,195.51845943450928
8013,Boulder,2313.607741394043
21033,Caldwell,147.51643770217896
20109,Logan,951.8290698242188
26137,Otsego,352.94398010253906
26143,Roscommon,356.78496559143065
39011,Auglaize,285.80777530670167
46015,Brule,501.2434973907471
35043,Sandoval,2043.374695739746
46005,Beadle,407.370025100708
48091,Comal,319.2073686599732
72087,Loíza,3.7965602224464994
72075,Juana Díaz,215.9472290110588
54005,Boone,359.69343097686766
21223,Trimble,220.2573648071289
27051,Grant,327.0414286804199
29215,Texas,373.7487920379639
28037,Franklin,105.31034563064576
48393,Roberts,863.5629055786133
21237,Wolfe,319.3879402923584
47067,Hancock,464.6162355804443
48023,Baylor,387.00543334960935
46073,Jerauld,502.8110846710205
46087,McCook,458.3873149108887
46081,Lawrence,1448.4859994506835
42035,Clinton,438.7771269607544
51075,Goochland,81.45736240386962
47113,Madison,134.01579236984253
48255,Karnes,102.07177107810976
47101,Lewis,255.22771560668943
47135,Perry,191.23516345977785
47147,Robertson,213.0962553787232
27083,Lyon,388.5189970397949
47155,Sevier,622.2848615264893
55099,Price,465.3562326812744
51037,Charlotte,161.2964566040039
48047,Brooks,64.69633862495422
55033,Dunn,273.26879905700685
55097,Portage,337.1674394989014
17075,Iroquois,201.97984008789064
24025,Harford,69.32945530000346
13181,Lincoln,124.08488136291504
31095,Jefferson,437.7434394836426
31145,Red Willow,780.5521064758301
31181,Webster,572.4286477661133
39017,Butler,238.86246292114257
19107,Keokuk,236.25058395385744
17199,Williamson,144.1873331832886
12049,Hardee,25.39463010549545
17191,Wayne,132.70617029190063
13187,Lumpkin,577.5221503448487
12043,Glades,9.006512643694878
13183,Long,19.71488716125488
13195,Madison,215.1119981384277
48481,Wharton,36.897662167549136
13219,Oconee,212.15327407836915
13225,Peach,140.3438482475281
48503,Young,357.08429122924804
51013,Arlington,61.15848599076271
56025,Natrona,1848.482644958496
45081,Saluda,139.29206621170044
45083,Spartanburg,192.1131911849976
55131,Washington,297.6716249847412
53023,Garfield,921.0436918640136
27133,Rock,469.13519958496096
27117,Pipestone,533.4427740478516
41031,Jefferson,1004.84479347229
51109,Louisa,93.6074970817566
27147,Steele,363.2523962402344
30107,Wheatland,1401.859981994629
27153,Todd,398.6882954406738
1057,Fayette,146.77898595809936
29131,Miller,239.1759618759156
19071,Fremont,311.7138112640381
31013,Box Butte,1306.741994934082
18021,Clay,184.29955001831053
28049,Hinds,81.44382007598877
18063,Hendricks,263.25194458007815
17145,Perry,143.32633668899535
37181,Vance,116.88133352279664
20001,Allen,309.603288192749
20079,Harvey,443.4287925720215
48093,Comanche,429.45769676208494
26057,Gratiot,222.64574352264404
47159,Smith,211.6660678100586
20111,Lyon,371.4622560119629
26067,Ionia,246.9031022262573
26065,Ingham,277.71108016967776
21141,Logan,188.42056941986084
48127,Dimmit,178.6773073577881
48325,Medina,320.09644809722903
21161,Mason,252.21422122955323
26085,Lake,297.2230693435669
26107,Mecosta,308.3220295715332
27067,Kandiyohi,357.332947845459
37093,Hoke,98.07867626190186
37125,Moore,124.69399291992188
37123,Montgomery,160.31990213394164
46037,Day,533.0504081726074
21219,Todd,189.74412349700927
27065,Kanabec,313.25930938720705
17051,Fayette,153.33316329956054
17065,Hamilton,133.99564445495605
21233,Webster,129.93569259643556
27003,Anoka,274.8898509979248
48129,Donley,782.4944940185546
48137,Edwards,615.1736627197265
40073,Kingfisher,333.0131122589111
48149,Fayette,99.93939893722536
46011,Brookings,521.7554222106934
48009,Archer,327.1043123626709
45003,Aiken,108.1350774717331
47029,Cocke,607.8973428344726
46103,Pennington,799.5240744018555
47043,Dickson,210.5333884048462
46019,Butte,912.5728228759766
45023,Chester,153.1070539855957
48017,Bailey,1184.8851953125
72133,Santa Isabel,7.915386650520406
13105,Elbert,170.986983833313
27017,Carlton,359.80854988098145
45041,Florence,28.47998811006546
12029,Dixie,6.14853610899779
27035,Crow Wing,379.7299686431885
26013,Baraga,383.7969827270508
38081,Sargent,375.6795919799805
20009,Barton,571.9785510253906
22093,St. James,2.162950387634337
18035,Delaware,286.9375704956055
26035,Clare,299.92574882507324
38071,Ramsey,456.9695704650879
16001,Ada,967.9023609924316
20003,Anderson,318.0286200714111
39097,Madison,313.9018990325928
51007,Amelia,80.0567619228363
13319,Wilkinson,107.37546586036682
48507,Zavala,203.03297382354737
19039,Clarke,329.40834396362305
39055,Geauga,333.85908599853514
21071,Floyd,343.88147773742674
48303,Lubbock,978.8535861206054
13273,Terrell,103.36597316741944
19035,Cherokee,414.1352587890625
39071,Highland,304.2455531311035
17153,Pulaski,108.00962728500366
27059,Isanti,289.1385109710693
16015,Boise,1819.6962243652345
13093,Dooly,107.65881019592284
37003,Alexander,343.5246990203857
5073,Lafayette,76.12060403823853
27165,Watonwan,341.8606768798828
13301,Warren,145.82764303207398
48425,Somervell,267.3672184371948
39101,Marion,287.43085823059084
37119,Mecklenburg,207.67121635437013
18111,Newton,205.8124842071533
20091,Johnson,303.5808422088623
19051,Davis,252.41483673095703
8063,Kit Carson,1321.028203125
17105,Livingston,213.43895969390869
19065,Fayette,339.31478843688967
13285,Troup,216.66325618743892
20113,McPherson,454.1563412475586
19069,Franklin,353.91748733520507
12093,Okeechobee,10.538854610323906
1045,Dale,93.35607055664065
51051,Dickenson,578.9728338623047
17129,Menard,169.43278228759766
48309,McLennan,186.5484917640686
20193,Thomas,999.7702545166017
8095,Phillips,1163.7265927124024
13059,Clarke,214.9200114059448
19125,Marion,259.32055778503417
19137,Montgomery,357.9568726348877
16057,Latah,882.1601419067383
19157,Poweshiek,277.83157978057864
19149,Plymouth,395.4315397644043
17179,Tazewell,185.12304794311524
21227,Warren,184.12931381225587
19153,Polk,275.392947807312
8039,Elbert,1919.574376831055
72129,San Lorenzo,213.7512542915344
72149,Villalba,421.8164419937134
35061,Valencia,1645.290129699707
28123,Scott,126.6911284828186
48421,Sherman,1058.678821716309
31063,Frontier,808.7482458496094
1083,Limestone,211.6321557617188
12035,Flagler,5.49972419874808
12091,Okaloosa,39.0579181357698
13095,Dougherty,62.79427248001099
12053,Hernando,20.82635155598517
13253,Seminole,33.864019446372986
28061,Jasper,124.6194937324524
28113,Pike,109.1240146446228
72093,Maricao,596.3759371948242
28047,Harrison,21.49161821370637
47099,Lawrence,266.98746486663816
72089,Luquillo,112.56198835074468
72085,Las Piedras,195.760663137436
46045,Edmunds,545.7577103424072
47173,Union,376.6630270385742
55137,Waushara,297.00998962402343
29115,Linn,237.438324508667
29089,Howard,219.019754486084
1001,Autauga,97.1770622253418
48363,Palo Pinto,319.3059345626831
40129,Roger Mills,655.8641232299805
13135,Gwinnett,291.97260620117186
13167,Johnson,88.39411692619323
5123,St. Francis,68.18203539848328
5077,Lee,60.63255396842956
5037,Cross,72.33494636535644
55085,Oneida,483.7967980194092
55125,Vilas,511.47156123922326
46035,Davison,422.9847813415527
39125,Paulding,221.09993183135987
42075,Lebanon,190.87729860305785
46017,Buffalo,504.37942794799807
29061,Daviess,249.26274452209472
42039,Crawford,368.7748932647705
42007,Beaver,323.30233448028565
29199,Scotland,232.73201236724853
29021,Buchanan,285.2277743911743
37103,Jones,15.710059321224689
48187,Guadalupe,153.4217999267578
12121,Suwannee,33.76572460889816
48293,Limestone,142.11060335159303
13017,Ben Hill,87.61076042175293
53043,Lincoln,645.2617362976074
55071,Manitowoc,224.7034693908692
56041,Uinta,2213.615241394043
50019,Orleans,406.8149024581909
31173,Thurston,405.6750420379639
13019,Berrien,72.72513988494873
48405,San Augustine,79.20149822235108
32027,Pershing,1446.583996887207
37041,Chowan,4.041330653149634
22037,East Feliciana,54.78567844867706
37029,Camden,2.4087010221733363
51720,Norton,837.1913557434082
37139,Pasquotank,2.0458761837501083
48031,Blanco,399.5620644760132
51700,Newport News,5.320042990258706
48115,Dawson,890.7526725769043
48317,Martin,824.027329864502
22067,Morehouse,28.32537982940674
41037,Lake,1647.6216567993165
40015,Caddo,436.2400910949707
29077,Greene,374.3051665496826
6055,Napa,278.74222807765005
48247,Jim Hogg,171.97051834106446
42073,Lawrence,342.1121269607544
18149,Starke,212.1912921142578
29121,Macon,247.87767269134525
29119,McDonald,339.5306951522827
29105,Laclede,341.5815804290771
29127,Marion,187.55385345458984
27163,Washington,282.9004795074463
31087,Hitchcock,900.0654524230957
31085,Hayes,938.4284506225586
29011,Barton,289.910509262085
39023,Clark,321.75647483825685
22111,Union,43.84952477455139
34021,Mercer,41.27538503825664
35021,Harding,1405.261106262207
37005,Alleghany,848.2378546905518
48143,Erath,384.2436911010742
48107,Crosby,891.1645530700683
47145,Roane,299.32664798736573
20207,Woodson,315.23157592773435
26043,Dickinson,374.5753939819336
42105,Potter,620.5642906951904
17041,Douglas,201.1077770614624
35037,Quay,1277.6612030029296
29145,Newton,350.533975982666
51177,Spotsylvania,84.89755984067916
27085,McLeod,315.4368479156494
31167,Stanton,484.2496639251709
31007,Banner,1408.8252270507812
27123,Ramsey,279.94887260437014
38045,LaMoure,466.1451113128662
37045,Cleveland,289.4972855758667
48179,Gray,905.9946804809572
38073,Ransom,363.25957321166993
37191,Wayne,43.16971389293671
31023,Butler,467.8896025085449
42121,Venango,428.50833045959473
29209,Stone,349.4914242553711
5061,Howard,210.80097263336185
51197,Wythe,798.1797601318359
51530,Buena Vista,331.2316524124146
37109,Lincoln,272.7114375305176
5097,Montgomery,277.3927194595337
51660,Harrisonburg,423.88465003967286
31053,Dodge,395.01823249816897
20013,Brown,331.84652038574217
38091,Steele,386.93675590515136
1037,Coosa,179.00778093338013
19001,Adair,388.4424824523926
72009,Aibonito,515.7087610626221
40097,Mayes,221.0462632751465
38015,Burleigh,551.8383466339111
17109,McDonough,203.1682054519653
51735,Poquoson,0.2703047216270124
26055,Grand Traverse,243.78624279022216
20147,Phillips,613.9589019775391
28059,Jackson,12.122385569592195
28161,Yalobusha,102.41369707107545
19011,Benton,273.1710710144043
48155,Foard,443.2813847351074
37135,Orange,192.712774181366
51149,Prince George,27.708741513714195
19089,Howard,381.7485924530029
13149,Heard,257.0305320739746
12027,DeSoto,17.570554943829777
48087,Collingsworth,631.2987742614746
21205,Rowan,295.9701343536377
55089,Ozaukee,213.6977802658081
42069,Lackawanna,442.1868923187256
17113,McLean,236.3982424926758
48175,Goliad,62.36837804794312
39149,Shelby,305.161085357666
48359,Oldham,1132.1804264831544
32510,Carson City,1787.6601266479493
36025,Delaware,610.2325244140625
72049,Culebra,14.520715658076538
18169,Wabash,241.77656215667724
21145,McCracken,115.72403980255127
5087,Madison,451.8108349609375
1007,Bibb,108.3387108707428
40033,Cotton,309.83809478759764
51135,Nottoway,121.63541040420532
8025,Crowley,1377.030295715332
13143,Haralson,350.6617837524414
28057,Itawamba,116.34651708602904
46009,Bon Homme,419.7544416046143
55105,Rock,263.6624007034302
18101,Martin,179.0788600921631
48389,Reeves,870.1526446533203
31117,McPherson,1031.6135026550294
48243,Jeff Davis,1438.0600982666017
48081,Coke,646.1033711242676
45077,Pickens,287.3654565429688
26039,Crawford,368.9828141784668
42059,Greene,369.0124335479736
51590,Danville,163.2836021232605
12007,Bradford,43.17000573158264
18137,Ripley,288.24975158691404
35051,Sierra,1844.5940109252929
32009,Esmeralda,1647.7371423339844
51775,Salem,347.2678942108154
8041,El Paso,1917.932794494629
8101,Pueblo,1546.8336114501951
8043,Fremont,2380.029496459961
8119,Teller,2829.020993652344
48489,Willacy,6.468222229351231
48319,Mason,504.16202934265135
48253,Jones,504.3895290374756
29213,Taney,293.14363166809085
48173,Glasscock,812.1328814697266
20019,Chautauqua,296.6535162734985
48433,Stonewall,536.6272136688233
37043,Clay,855.5872750854492
36077,Otsego,460.71058601379394
48449,Titus,105.47740947723388
48467,Van Zandt,140.1371610069275
31071,Garfield,677.0594047546386
48063,Camp,97.11450189590454
48213,Henderson,133.06789768218994
22099,St. Martin,3.7423823403567074
51113,Madison,289.11994426727296
36007,Broome,413.7754016876221
36017,Chenango,441.5430993652344
51157,Rappahannock,312.9922270011902
51079,Greene,363.8113851165771
40147,Washington,223.13558723449708
47127,Moore,282.6509436416626
54069,Ohio,325.21128929138183
51031,Campbell,225.85414138793945
1119,Sumter,53.81317804813385
1131,Wilcox,57.84482003688812
54045,Logan,473.4785988616943
54073,Pleasants,268.723710899353
28043,Grenada,81.72320314407348
51091,Highland,875.5951416015625
29025,Caldwell,260.7440274429321
54049,Marion,369.6560349273682
