county,state,population_2024,age_under5,age_under18,age_65andover,race_white,race_black,race_americanindianoralaskanative,race_asian,race_nativehawaiianorpacificislander,race_hispanicorlatino,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_hsorhigher (25+),education_bachelorsorhigher (25+),without_insuranceunder65,income_household (2024 dollars),income_percapita (2024 dollars),population_density (square mile 2020),fips_code
apache county,arizona,"64,800",5.6,25,17.9,23.8,0.8,72.6,0.9,0.1,6.9,79.1,"68,500",3.14,52.3,84.9,15.3,13,"40,338","20,100",5.9,"""04001"""
cochise county,arizona,"125,773",4.8,20,26,87.5,4.4,1.9,2.3,0.4,35.6,70.5,"207,400",2.37,26.8,89.2,27.7,14.3,"58,970","32,708",20.2,"""04003"""
coconino county,arizona,"145,161",4.4,18.7,15.4,65.5,1.5,27.1,2.3,0.2,15.9,58.8,"413,200",2.45,22.4,92,39.6,11.3,"69,748","35,810",7.8,"""04005"""
gila county,arizona,"54,073",4.3,18.6,32.1,77.7,1,18.2,0.9,0.2,18.6,77.2,"247,000",2.25,14.5,89.6,18.8,14.8,"59,089","32,645",11.2,"""04007"""
graham county,arizona,"40,242",6.1,25.6,14.9,82,2,12.9,0.8,0.2,32.2,73.5,"202,700",2.87,18.9,84.2,14.6,13.7,"67,326","26,094",8.3,"""04009"""
greenlee county,arizona,"9,410",6.5,26.6,14.3,87.7,2.4,5.4,1.6,0.2,47.1,55.8,"136,300",2.72,19.9,88.1,20.4,11.1,"75,239","32,028",5.2,"""04011"""
la paz county,arizona,"16,992",4.2,15.1,43.9,75.5,1.4,16.7,2.1,0.4,26.2,70.4,"117,600",1.85,21.4,82.5,13.9,16.4,"49,506","33,413",3.7,"""04012"""
maricopa county,arizona,"4,673,096",5.5,21.7,16.9,80.5,7.1,3,5.6,0.3,31.9,65,"414,700",2.61,25.8,89.5,35.9,11.8,"85,518","44,210",480.4,"""04013"""
mohave county,arizona,"226,479",3.9,15.8,33.8,90.6,1.6,3,1.6,0.3,18.1,73.6,"253,200",2.2,9.2,88.2,14.9,14.4,"55,799","34,178",16,"""04015"""
navajo county,arizona,"109,516",5.7,24.5,21.1,52,1.1,43.4,0.8,0.2,11.4,72.7,"186,100",2.68,34,86,17.6,14.3,"52,752","24,347",10.7,"""04017"""
pima county,arizona,"1,080,149",4.7,19,22.4,83.2,4.7,4.4,3.9,0.3,37,64.8,"286,900",2.37,25.7,89.9,35.9,12.1,"67,929","38,564",113.6,"""04019"""
pinal county,arizona,"513,862",5.4,21.1,21.9,80.9,6.8,5.9,2.4,0.4,30.8,80.5,"312,100",2.74,19.2,89.1,22.2,13.4,"77,588","35,245",79.3,"""04021"""
santa cruz county,arizona,"50,508",5.7,24.6,20.1,94.8,1.2,1.6,1,0.2,82.2,68.4,"216,100",2.85,78.3,77.7,24.1,20,"53,614","25,634",38.6,"""04023"""
yavapai county,arizona,"252,013",3.7,15,35.3,92.4,1,2.3,1.6,0.2,16.2,73.5,"392,900",2.18,10.8,92.5,29.6,14.2,"66,106","39,890",29.1,"""04025"""
yuma county,arizona,"220,310",6.3,24,21.3,90.5,2.6,2.6,1.8,0.3,66.1,70,"195,700",2.6,54.5,76.6,16.7,17,"60,417","28,918",37,"""04027"""
alameda county,california,"1,649,060",5,19.2,16.4,46.2,10.3,1.4,35.5,0.9,23.6,54.1,"1,057,400",2.73,46.6,88.9,51.5,4.8,"126,240","63,442",2281.3,"""06001"""
alpine county,california,"1,099",4,15.6,29.2,69.5,1.1,21.8,2.2,0,13.1,81,"466,100",3.42,14.1,96.3,42.1,5.5,"110,781","53,247",1.6,"""06003"""
amador county,california,"42,026",4.1,15.6,28.1,88.2,3.1,2.2,2,0.4,17.1,80.1,"422,800",2.35,9.9,91,22.4,6.2,"81,526","42,602",68.1,"""06005"""
butte county,california,"208,334",5,20.1,19,83.4,2.2,2.7,5.9,0.3,21,58.3,"408,700",2.47,16.5,90.3,31.7,6.6,"68,574","37,965",129.3,"""06007"""
calaveras county,california,"46,505",4.3,17.5,30.3,89.4,1.2,2.1,2.5,0.3,15.7,84.4,"441,800",2.54,9.4,93.3,22.2,5.7,"79,877","41,078",44.4,"""06009"""
colusa county,california,"22,074",6.5,26.5,16.2,90.5,1.5,3,1.8,0.6,64.2,62.2,"375,100",2.89,52.8,73.2,14.5,9,"75,149","32,776",19,"""06011"""
contra costa county,california,"1,172,607",5.2,21.4,18,61.5,9.2,1.2,21.4,0.6,28.2,67.7,"830,800",2.79,37,89.6,44.9,5.9,"125,727","61,727",1626.3,"""06013"""
del norte county,california,"27,009",4.9,20.4,21.5,77.1,3.4,10.1,3.4,0.3,21.2,71.2,"319,600",2.59,12.3,85.5,21,7.8,"66,780","31,008",27.6,"""06015"""
el dorado county,california,"192,823",4.3,19.1,25.1,86.9,1.1,1.3,5.8,0.3,15.1,76.4,"640,500",2.51,12.2,94.9,38.8,4.7,"106,190","57,916",111.9,"""06017"""
fresno county,california,"1,024,125",6.8,27.2,13.4,74.6,5.9,3.2,12.4,0.3,55.3,55.4,"362,600",3.08,43.8,78.6,23.9,8.3,"71,434","31,777",169.3,"""06019"""
glenn county,california,"28,304",6.4,26.1,17.3,88.3,1.3,3.6,3,0.3,46.7,63.1,"338,400",2.91,37.9,80.3,16.5,9.3,"70,487","30,697",22,"""06021"""
humboldt county,california,"132,380",4.4,18.2,21,82,1.5,6.5,3.2,0.4,14.6,56.3,"418,800",2.39,10.8,91.5,32.1,7,"61,135","36,082",38.2,"""06023"""
imperial county,california,"181,724",6.7,27.9,14.2,89.8,3.2,2.9,2.2,0.2,86.6,56.8,"279,500",3.51,75.1,71.8,16.1,8.4,"56,393","22,702",43,"""06025"""
inyo county,california,"18,485",4.6,19.6,26.2,78.6,1.2,14,2,0.2,25,67.1,"338,400",2.28,15.5,92.8,31.8,6,"72,432","40,569",1.9,"""06027"""
kern county,california,"922,529",6.6,27.9,12.4,81.2,6.1,2.8,6.1,0.3,57.8,59.8,"310,600",3.15,45.2,77.1,18.6,9.3,"67,660","29,238",111.8,"""06029"""
kings county,california,"154,913",6.8,26.3,11.3,80.8,7.1,3.3,4.5,0.4,59.6,54.8,"305,700",3.19,42.1,74.2,13.9,8.7,"68,750","26,420",109.6,"""06031"""
lake county,california,"67,764",5.3,21.9,24.8,85.8,2.2,4.8,1.7,0.4,26.4,70.9,"316,800",2.55,18.9,87.1,17.7,8.2,"58,738","34,768",54.2,"""06033"""
lassen county,california,"28,340",4.8,18.9,18.9,81.1,6.7,4.4,2,0.9,22.3,68.2,"259,500",2.64,18.1,79.1,13.2,6.5,"64,395","25,852",7.2,"""06035"""
los angeles county,california,"9,757,179",4.9,19.9,16.1,69.3,8.9,1.7,16.4,0.4,48.8,46.1,"783,300",2.85,55.1,80.7,35.5,8.8,"87,760","44,319",2466.9,"""06037"""
madera county,california,"165,432",6.6,26.6,14.7,84.6,4.1,4.7,3.4,0.3,62,65.5,"367,700",3.42,45.8,73,17.1,10.5,"75,496","29,698",73.1,"""06039"""
marin county,california,"256,400",4.4,18.7,25,83.9,2.9,1.3,7.2,0.3,20.4,63.9,"1,390,000",2.44,23.1,92.7,60.5,4.5,"142,785","90,408",504.1,"""06041"""
mariposa county,california,"17,048",4.2,17.3,31.3,88.2,1.5,3.6,2.2,0.3,16.3,74.7,"358,000",2.01,10.8,90.5,30.9,6.3,"65,378","39,798",11.8,"""06043"""
mendocino county,california,"89,175",4.8,20.6,25.8,85.5,1.1,6.5,2.6,0.3,29.1,60.9,"486,000",2.56,21.6,86.2,24.9,8.4,"64,688","37,230",26.1,"""06045"""
merced county,california,"296,774",6.7,27.8,12,81,3.9,2.8,8.3,0.4,64.6,53.3,"368,400",3.32,52.9,71.9,14.8,9.4,"65,044","27,711",145.1,"""06047"""
modoc county,california,"8,491",3.9,18.5,31.2,85.4,1.6,6.1,1.5,0.4,16.7,77.3,"212,000",2.48,11.6,87.9,23,7.2,"56,648","30,660",2.2,"""06049"""
mono county,california,"12,991",4.3,17.4,19.9,89.7,1.3,2.9,2.2,0.4,28.3,69.2,"514,300",2.3,22.2,89.6,34.3,10,"86,953","49,271",4.3,"""06051"""
monterey county,california,"436,251",6.5,25.2,15.8,82.8,3.2,2.7,6.8,0.5,62.9,52.3,"723,100",3.16,55.4,73.3,27.9,11,"94,486","39,523",133.8,"""06053"""
napa county,california,"132,727",4.3,18.5,22.3,82.5,2.4,1.4,9.7,0.4,37.2,64.4,"838,800",2.66,33.9,84.7,38.5,6.8,"108,970","57,795",184.4,"""06055"""
nevada county,california,"102,195",3.8,16.7,30.5,92.3,0.8,1.3,1.8,0.2,11.3,74.4,"602,800",2.41,8.7,95.1,39.5,5.5,"84,905","49,935",106.8,"""06057"""
orange county,california,"3,170,435",4.9,20.3,17.4,68,2.3,1.1,24.3,0.4,34.3,56.4,"915,500",2.9,45.9,86.9,43.4,7.1,"113,702","52,816",4019.7,"""06059"""
placer county,california,"433,822",4.8,21.3,21.2,79.7,2.4,1.1,10.9,0.4,16.3,74.3,"658,800",2.62,16.2,94.9,42.9,4.1,"114,678","56,902",287.6,"""06061"""
plumas county,california,"18,834",3.6,16.5,33.7,90.2,1.1,3.1,1.1,0.2,10.6,74.8,"327,400",2.39,5.5,94,20.5,5.4,"64,946","41,604",7.8,"""06063"""
riverside county,california,"2,529,933",5.7,23.4,16.1,77.6,7.5,2,8.3,0.5,52.5,68.9,"510,300",3.17,41.8,83.3,25.1,8.7,"89,672","37,162",335.4,"""06065"""
sacramento county,california,"1,611,231",5.7,22.4,16,59.6,10.6,1.6,19.4,1.4,24.6,58.6,"498,900",2.74,32.8,88.4,33.3,6,"88,724","41,989",1642.1,"""06067"""
san benito county,california,"69,159",6.2,24.6,14.2,84,2,3.2,6.1,0.6,63.4,67.4,"751,500",3.25,42.4,83.2,22.4,6.8,"108,289","43,524",46.2,"""06069"""
san bernardino county,california,"2,214,281",6,24.8,13.3,74.5,9.3,2.2,9.7,0.5,56.4,61.5,"475,000",3.21,43.6,82.1,22.9,8.8,"82,184","33,180",108.7,"""06071"""
san diego county,california,"3,298,799",5.4,20.4,16.3,73.5,5.5,1.4,13.8,0.6,35.2,54.5,"791,600",2.74,36.7,89,42.1,6.8,"102,285","49,891",783.5,"""06073"""
san francisco county,california,"827,526",3.9,13.5,18.5,50.7,5.6,1,37.3,0.4,16.8,38.5,"1,380,500",2.24,43.4,88.8,60.1,4.2,"141,446","90,285",18629.1,"""06075"""
san joaquin county,california,"816,108",6.2,25.3,14,61.9,8.1,2.2,21.3,0.9,43,61.5,"494,500",3.19,42.2,80.4,21.6,7.2,"88,531","36,192",559.6,"""06077"""
san luis obispo county,california,"281,843",4.2,17.1,23.3,87.9,1.8,1.6,4.6,0.2,25.8,61.9,"777,200",2.45,17.2,91.8,39.2,6.3,"93,398","49,581",85.6,"""06079"""
san mateo county,california,"742,893",5,18.9,18.8,55.9,2.7,1.1,33.9,1.4,25,59.1,"1,494,500",2.77,45.3,90.3,53.1,4.9,"156,000","81,980",1704,"""06081"""
santa barbara county,california,"444,500",6.1,22.2,17.4,84.7,2.3,2.2,6.4,0.3,49.3,52.9,"735,700",2.83,40,82.1,35.9,10.3,"95,977","46,679",164,"""06083"""
santa clara county,california,"1,926,325",4.9,19.4,15.6,47.9,2.9,1.2,43.3,0.5,24.8,55.3,"1,382,800",2.85,54.7,89.3,55.9,4.7,"159,674","77,018",1499.7,"""06085"""
santa cruz county,california,"262,406",4.2,17.6,20.3,85.9,1.5,2,5.7,0.2,35.5,60,"1,015,200",2.6,32.6,88.5,43.6,6.7,"109,266","55,717",608.5,"""06087"""
shasta county,california,"181,121",4.9,21.2,22.2,86,1.4,3.3,3.9,0.3,12.6,65.4,"347,200",2.49,7.7,92.1,23.3,7,"71,931","38,746",48.2,"""06089"""
sierra county,california,"3,113",3,15.1,33.9,91.8,0.4,3,1.1,0.2,12.3,78.3,"334,100",2.18,12.1,91.4,24.4,5.9,"60,000","40,612",3.4,"""06091"""
siskiyou county,california,"42,498",4.2,19.3,29.3,84.9,1.5,5.2,2.1,0.4,14.2,69.7,"284,500",2.27,9.7,91.1,23.1,6.8,"55,499","34,074",7,"""06093"""
solano county,california,"455,101",5.4,21.4,18.4,57.7,14.2,1.5,18,1.1,30.9,63.2,"589,600",2.83,30.7,88.9,28.4,5.4,"99,994","44,139",551.8,"""06095"""
sonoma county,california,"485,375",4.6,18.4,22.8,85,2.2,2.5,5.2,0.5,31,62.2,"779,000",2.5,26.8,88.9,37.8,6.6,"102,840","54,941",310.3,"""06097"""
stanislaus county,california,"556,972",6.4,26,14.3,81.4,3.7,2.2,7,1,51.5,61,"426,600",3.1,43.1,80.1,19.1,6.9,"79,661","33,653",369.6,"""06099"""
sutter county,california,"98,545",6.2,24.5,17.1,69.5,2.7,2.4,19.4,0.5,33.9,59.2,"399,400",2.95,36.4,78.8,20.2,8.7,"75,450","34,330",165.3,"""06101"""
tehama county,california,"64,451",5.9,23.9,20.8,89.3,1.2,3.4,1.6,0.3,30.8,67.6,"315,600",2.63,20.1,86.3,18.8,7,"61,834","35,527",22.3,"""06103"""
trinity county,california,"15,642",3.5,17.2,33.1,85.4,0.8,5.1,2.8,0.3,6.8,73,"329,000",2.9,9.1,94.8,18,6.2,"53,498","32,271",5.1,"""06105"""
tulare county,california,"483,546",7.1,29,12.4,87.3,2.4,2.9,4.3,0.3,67.7,58.6,"303,000",3.31,50.3,74.4,15.8,9.5,"69,489","27,550",98.1,"""06107"""
tuolumne county,california,"53,893",4.2,17.1,29,89.6,2,2.4,1.7,0.3,14.4,74.1,"406,200",2.26,7.7,93.5,23.9,6,"72,259","41,372",25,"""06109"""
ventura county,california,"835,427",5.2,21.1,18.6,82.8,2.5,2,8.6,0.3,45.3,64.2,"768,400",2.97,38.4,85.3,35.7,8.5,"107,327","48,416",458.4,"""06111"""
yolo county,california,"225,251",4.4,19.2,14.1,70.3,3.4,1.9,17.3,0.6,33.4,53.6,"593,800",2.72,36.2,88.4,44.1,6.3,"88,818","43,607",213.3,"""06113"""
yuba county,california,"87,469",7.3,27.1,13.5,74.4,5.5,2.8,9.3,0.7,32.5,63.3,"380,000",2.91,24.5,84.7,17.9,6.9,"73,313","32,854",129.1,"""06115"""
adams county,colorado,"542,973",6.2,23.9,11.8,83.7,4.8,2.5,5.1,0.3,43.7,68.9,"458,400",2.82,29.3,85,28,10.3,"91,387","40,167",445.3,"""08001"""
alamosa county,colorado,"16,689",6,23.9,15.7,85.8,2.5,5.9,1.8,0.4,49,56.4,"218,800",2.37,20.9,89.1,29.3,9.2,"51,445","29,622",22.7,"""08003"""
arapahoe county,colorado,"666,918",5.7,22,15.2,74.2,12.3,1.3,7.2,0.3,22.8,65.1,"526,000",2.56,23.3,92,45.7,9.8,"97,215","51,942",821,"""08005"""
archuleta county,colorado,"14,112",3.6,16.3,30.3,91.5,1,3.4,1.1,0.2,17.3,77.5,"451,400",2.3,5.7,95.3,40.7,10.6,"76,524","43,049",9.9,"""08007"""
baca county,colorado,"3,367",4.8,22.3,25.6,91.4,1.6,2.6,0.6,0,11,71.9,"122,000",2.12,4,85.8,24.1,10.5,"40,380","28,598",1.4,"""08009"""
bent county,colorado,"5,779",3.8,15.5,20.7,84.3,7.6,3.6,1.5,0.1,32.9,66.1,"137,900",2.21,9.3,81.2,14.2,8.9,"49,194","20,360",3.7,"""08011"""
boulder county,colorado,"330,262",3.7,16.6,17.5,88.9,1.4,0.9,5.7,0.1,15,62.5,"713,900",2.33,14.8,95.5,63.9,6.7,"102,772","60,272",455.3,"""08013"""
broomfield county,colorado,"78,323",4.2,19.2,16.7,85.9,1.9,0.9,8,0.2,14.8,62.6,"631,600",2.42,13.7,96.1,58.6,4.2,"121,025","62,948",2248,"""08014"""
chaffee county,colorado,"20,780",3.7,14.5,26.3,93.2,2,1.8,1,0.1,10,72.9,"598,500",2,5.5,94.6,45.4,7.4,"70,909","43,357",19.2,"""08015"""
cheyenne county,colorado,"1,712",4.5,25.9,21.7,91.9,1.5,1.8,2.1,0.2,12.5,72.7,"187,100",2.25,12.6,91.7,24.4,10.5,"67,768","38,468",1,"""08017"""
