county,state,population_2024,age_under5,age_under18,age_65andover,race_white,race_black,race_americanindianoralaskanative,race_asian,race_nativehawaiianorpacificislander,race_hispanicorlatino,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_hsorhigher (25+),education_bachelorsorhigher (25+),without_insuranceunder65,income_household (2024 dollars),income_percapita (2024 dollars),population_density (square mile 2020)
albany county,wyoming,39288,4,14.9,13.8,89.3,1.5,1.2,4.9,0.2,10.7,49.4,322100,2.1,10.7,96.9,55.5,13.2,59881,37277,8.7
big horn county,wyoming,12084,5.5,23.6,22.5,94.3,1,2,0.8,0.1,9.8,77.2,198200,2.6,7.1,88,20.9,18.5,60547,31066,3.7
campbell county,wyoming,47946,6.2,25.8,14.7,94.1,0.8,1.8,0.8,0.1,10.3,78.4,266400,2.6,7.5,91.9,22.2,12.3,95253,40983,9.8
carbon county,wyoming,14250,5.3,21.4,20.3,92.6,1.4,2.3,1.1,0.1,18.8,76.8,214500,2.4,11.7,91.2,22.8,16.4,66721,35421,1.8
converse county,wyoming,13766,5.4,23.6,20.5,94.6,0.7,1.6,0.7,0.1,8.6,78.3,269700,2.4,3.7,93.7,22.9,14.1,79164,38337,3.2
crook county,wyoming,7775,6.1,24.8,23.5,96.2,0.9,1.1,0.3,0.1,2.4,76,276800,2.5,3.3,94.9,24,14.1,71209,35109,2.5
fremont county,wyoming,39721,5.6,23.8,20.8,73.9,0.8,21.3,0.6,0.1,7.5,70.7,252700,2.6,6.6,93.5,25.3,15.2,64646,32717,4.3
goshen county,wyoming,12635,4.9,19.7,25,94.2,1.3,1.8,0.9,0.1,10.4,74.1,234600,2.3,6.3,93,24.6,13.8,64882,34997,5.6
hot springs county,wyoming,4625,4.3,20,31.1,93.1,1.1,2.5,0.7,0.1,5.4,72.6,214400,2.2,1.9,94.4,26.4,13.2,64375,33942,2.3
johnson county,wyoming,8803,4.4,19,28.7,94.4,0.9,1.9,0.9,0,4.4,79.6,296000,2.2,3.4,94.6,30.3,12.6,63905,39367,2.0
laramie county,wyoming,101783,5.5,21.7,18.2,91.4,2.2,1.3,1.5,0.2,16.3,70.8,324900,2.3,6.6,94.5,32,11.3,77884,42449,37.4
lincoln county,wyoming,21000,5.5,24.1,21.2,95.6,0.7,1.1,0.5,0.1,6,80.1,334500,2.6,5,94.6,24.1,17,86092,40375,4.8
natrona county,wyoming,80410,5.4,22.9,18.3,93.6,1.3,1.5,1,0.1,9.9,73.6,260400,2.4,5.8,93.8,27.4,13.8,71247,40978,15.0
niobrara county,wyoming,2301,4.5,17.7,28.6,94.4,0.8,1.7,0.5,0,4.7,65.2,194200,1.9,3.2,94.2,19.6,17,48987,36676,0.9
park county,wyoming,31082,4.6,19.9,26.3,95.7,0.7,1,0.9,0.1,6.3,74.7,374200,2.2,3.5,95.8,35,13.8,70533,41425,4.3
platte county,wyoming,8512,4.6,19.4,28.5,95.2,0.7,1.4,0.8,0.1,9.7,72.5,248900,2.2,7.2,91.6,19.5,14,66299,37237,4.1
sheridan county,wyoming,32978,5,20.5,23.9,94.9,0.9,1.4,0.9,0.1,5.1,69.9,352200,2.3,2.7,96.3,33.4,13,70855,40533,12.3
sublette county,wyoming,8965,4.4,20.9,24.8,94.6,1,1.2,0.9,0.2,7.6,81.1,350100,2.4,5.2,96.2,31.1,14.7,82791,57348,1.8
sweetwater county,wyoming,41273,5.6,23.9,16.3,93.8,1.3,1.6,0.9,0.2,17.5,74,242900,2.5,8.7,92.5,20.4,11.7,76464,40988,4.1
teton county,wyoming,23272,4,16.1,19,93.4,1.1,1.2,2.2,0.2,16.6,61.5,1371900,2.4,18.1,97.2,61.2,13.8,112681,75541,5.8
uinta county,wyoming,20621,5.8,25.9,18.4,95.3,0.6,1.4,0.6,0.2,10.4,76.5,255400,2.7,4.1,94.6,21.3,12.4,82672,34568,9.8
washakie county,wyoming,7662,4.6,19.9,25.7,93.7,0.6,1.8,1.1,0.1,14.3,74.2,188600,2.2,7.8,91.4,22,13.3,62648,36030,3.4
weston county,wyoming,6866,4,18.2,24,92.8,0.9,2.2,1.4,0.1,5.8,89,214000,2.4,3.3,91.6,18,14.6,87545,41745,2.9
wood county,wisconsin,"73,943",5,21,23.1,93.9,1.1,1.2,2.1,0,4.2,72.6,175600,2.26,3.8,94.5,21.4,5.4,67989,37943,93.6
winnebago county,wisconsin,"173,307",4.8,19.7,18.3,89.9,3.3,0.8,3.7,0.1,5.4,65.8,225800,2.27,5.9,94.4,31.1,5.4,74925,40938,395.1
waushara county,wisconsin,"25,079",3.9,17.2,27.9,94.5,2.3,0.9,0.7,0.1,7.1,84.2,203100,2.26,8.6,90.1,17.7,8,67107,41552,39.2
waupaca county,wisconsin,"51,171",4.8,19.9,22.4,96.3,0.7,0.9,0.7,0,4.2,75.3,211400,2.23,3.7,92.5,20.5,6.5,72830,41606,69.3
waukesha county,wisconsin,"417,029",4.8,20.4,21.8,91,2.2,0.3,4.5,0.1,6.1,76,398200,2.42,7.7,97.2,48.9,3.3,106076,58126,740.3
washington county,wisconsin,"138,727",4.7,20.3,21.4,94,2,0.4,2,0,4,78.1,344800,2.4,4.2,95.8,35.2,3.7,96359,49106,317.6
washburn county,wisconsin,"16,982",3.6,17.2,29.6,95.3,0.5,1.6,0.8,0,2.3,82.2,226100,2.2,2.7,94,25.5,7.3,63441,38951,20.9
walworth county,wisconsin,"106,029",4.4,18.7,21.6,95.4,1.3,0.5,1.1,0.1,12.6,70.6,302700,2.38,10.7,93,32.4,7.1,80520,45175,191.7
vilas county,wisconsin,"23,948",3.6,15.8,33.5,87.5,0.5,9.8,0.6,0,2.4,84,300000,2.1,2.4,96.6,30.9,7.1,68431,43101,26.9
vernon county,wisconsin,"31,351",6.7,25.6,22.2,97.3,0.5,0.4,0.5,0,2,80.3,223800,2.46,11.3,90.3,24.9,11.1,71893,36396,38.8
trempealeau county,wisconsin,"30,801",6.5,26.3,19.8,94.2,0.9,2.5,0.8,0.1,13.1,74,216700,2.43,11,90.7,20.9,7.8,76313,37226,42.0
taylor county,wisconsin,"20,167",5.8,22.8,22.8,97,0.6,0.5,0.7,0.1,3.4,79.7,197100,2.47,5.6,91.4,17,8.6,69350,35571,20.4
